Question,Answer1,Answer2,Answer3,Answer4,Answer5
Would you rather problem solve or be creative?,All Creative,Mostly Creative,Balanced,Mostly Problem Solve,All Problem Solve
"Are you detail oriented, or more big picture?",Details,I like details,In between,Pretty Big,Big Picture
Are you introverted or extroverted?,Extreme Introvert,A little shy,In between,Prety outgoing,Extreme Extrovert
How Important is Finding Insights To You?,Not at all,A little,In between,Pretty important,The whole piont
How Comfortable are you persuading someone to see your point of view?,Not at all,A little,In between,pretty comfortable,Very
Generalist vs Specialist,Generalist - 100%,Mostly General,In between,Mostly Specialist,Specialist - 100%
