Question,Answer1,Answer2,Answer3,Answer4,Answer5
How much do you like to code?,Not at all,Just a little bit,It is alright,It is pretty good,I love it
Would you rather problem solve or be creative?,All Creative,Mostly Creative,Balanced,Mostly Problem Solve,All Problem Solve
Do You Like Cloud Computing?,Nope,A little,Kinda,Sorta,Yes
Are you introverted or extroverted?,Extreme Introvert,A little shy,In between,prety outgoing,Extreme Extrovert
How Important is Finding Insights To You?,Not Important,meh,In between,Pretty important,The whole piont
How Comfortable are you persuading someone to see your point of view,not at all,meh,In between,pretty comfortable,I am king at this
